Property Category,Iter,적용,Log Name,Log Definition,Property Name,Property Definition,Data Type,Sample Values,Notes
" 
속성들의 분류
",버전,"구현
여부",로그 이름,로그 설명,로그 속성,로그 속성 설명,데이터 타입,샘플 값,비고
상품 구매 결과,0.0.1,🔴,purchase_result,결제 완료 시 기록되는 로그,project_name,프로젝트 구분,string,"SSBL, SSCB, SSGO, SSM, SSJ",
,0.0.1,🔴,,,member_oid,유저 구분자,string,99999,
,0.0.1,🔴,,,country,국가 구분자,string,"KR, US, JP, CN, XX, ZZ",
,0.0.1,🔴,,,os_type,운영체제 타입,string,"iOS, AOS, UNKNOWN",
,0.0.1,🔴,,,store_type,결제 진행된 스토어 타입,string,"apple, google, cafe24",
,0.0.1,🔴,,,store_sku,결제 진행된 스토어의 상품 식별자 아이디,string,season_pass_1,
,0.0.1,🔴,,,product_id,게임 데이터 테이블에서 상품 식별자 아이디,int,1001,
,0.0.1,⚫️,,,product_type,상품 타입 구분자,string,"starpass, draw_photo_card","데이터 테이블 조인할지, 로그에 직접 남길지 논의 필요"
,0.0.1,⚫️,,,artist_group_code,아티스트 소속 그룹 이름 코드,int,"0(=unknown), 1,2,3,4,5","데이터 테이블 조인할지, 로그에 직접 남길지 논의 필요"
,0.0.1,⚫️,,,artist_code,아티스트 이름 코드,int,"0(=unkonwn), 101,102,103","데이터 테이블 조인할지, 로그에 직접 남길지 논의 필요"
,0.0.1,⚫️,,,price_type,결제 타입,string,"cash, dia, rp, ad, free","데이터 테이블 조인할지, 로그에 직접 남길지 논의 필요, rp price_value=""0""인 경우 free로 기록"
,0.0.1,⚫️,,,price_value,상품 가격 (cash = 달러 기준),int,9.99,"데이터 테이블 조인할지, 로그에 직접 남길지 논의 필요"
,0.0.1,🔴,,,date,로그가 기록된 날짜 시간,datetime,2077-02-17 23:59:59,
,0.0.1,🔴,,,app_version,로그가 기록된 앱 버전,string,1.0.10,
수집 포인트 획득 결과,0.0.1,🔴,get_collection_point,수집 포인트 획득 시 기록되는 로그,member_oid,유저 구분자,int,,
,0.0.1,🔴,,,artist_group_code,아티스트 소속 그룹 이름 코드,int,,
,0.0.1,🔴,,,album_code,수집 포인트 획득 앨범 코드,int,"1,2,3,4,5",
,0.0.1,🔴,,,point_source,수집 포인트 획득 루트(원천),string,"music, photocard, background","음악, 포토카드, 배경이미지 등 어떤 과업 달성으로 획득한 포인트인지 구분"
,0.0.1,🔴,,,point_amount,수집 포인트 획득량,int,"10, 20, 30, 40",
,0.0.1,🔴,,,date,로그가 기록된 날짜 시간,datetime,2077-02-17 23:59:59,
,0.0.1,🔴,,,app_version,로그가 기록된 앱 버전,string,1.0.10,
앨범 리그 매칭 정보,0.0.1,🟡,AlbumLeagueAllocateLog,각 앨범 리그 배치 시 기록되는 로그,createdAt,로그 생성 시간,datetime,,
,0.0.1,🟡,,,actionId,액션 아이디,binary(16),,
,0.0.1,🟡,,,owner,유저 구분자,bigint,,
,0.0.1,🟡,,,seasonId,앨범 리그 시즌 ID,int,1,
,0.0.1,🟡,,,albumCode,유저가 배치된 앨범의 코드,int,1001,
,0.0.1,🟡,,,matchCode,유저가 배치된 경쟁 구간 코드,int,1,AlbumLeagueMatchData.code
,0.0.1,🟡,,,realCollectionLevel,배치 시 유저의 실제 컬렉션 레벨,int,1,
앨범 리그 결산 정보,0.0.1,🟡,AlbumLeagueSettlementLog,앨범 리그 결산 보상 획득 시 기록되는 로그,careateAt,로그 생성 시간,datetime,,
,0.0.1,🟡,,,actionId,액션 아이디,binary(16),,
,0.0.1,🟡,,,owner,유저 아이디,bigint,99999,
,0.0.1,🟡,,,seasonId,앨범 리그 시즌 ID,int,1,
,0.0.1,🟡,,,rewardJson,유저의 앨범 리그 참여 결과 보상,json,"[{""AlbumCode"":1001, MatchCode:1, ""RewardGroupId"":2,""Rank"":1, ""Score"":423,590,287},
{""AlbumCode"":1002, MatchCode:2, ""RewardGroupId"":3,""Rank"":2, ""Score"":311,198,781}, 
{""AlbumCode"":1003, MatchCode:3, ""RewardGroupId"":4,""Rank"":3, ""Score"":154,169,311}]","참여한 각 앨범 별 앨범 코드, 매치 데이터 코드(앨범 레벨 구간),
리워드그룹코드, 순위(그룹 랭킹), 최종 경쟁 점수로 구성됨"
앨범 컬렉션 포인트,0.0.1,🟢,AlbumCollectionLog,앨범 컬렉션 포인트 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,albumCode,,int,,
,0.0.1,🟢,,,collectionType,,int,,"앨범포인트, 카드포인트, 배경포인트"
,0.0.1,🟢,,,beforePoint,,int,,
,0.0.1,🟢,,,afterPoint,,int,,
,0.0.1,🟢,,,amount,,int,,
앨범 스타터팩 트렌젝션,0.0.1,🟢,AlbumStarterPackLog,앨범 스타터팩 트렌젝션,createdAt,생성일,datetime,,
,0.0.1,🟢,,,owner,유저 아이디,bigint,,
,0.0.1,🟢,,,albumDataCode,앨범 데이터 코드,int,,
재화 추적자,0.0.1,🟢,AssetStackLedgerLog,재화 증감 이력 추적,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,userObjectId,,bigint,,
,0.0.1,🟢,,,controllerName,로그 발생한 controller,varchar(50),,
,0.0.1,🟢,,,actionName,로그가 발생한 ActionName,varchar(50),,
,0.0.1,🟢,,,logActionType,,int,,
,0.0.1,🟢,,,itemType,,int,,
,0.0.1,🟢,,,delta,,int,,
,0.0.1,🟢,,,before,,bigint,,
,0.0.1,🟢,,,after,,bigint,,
출석,0.0.1,🟢,AttendanceLog,출석 로그,createdAt,,datetime,,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,day,,int,,
,0.0.1,🟢,,,eventType,,smallint,,
,0.0.1,🟢,,,itemType,,int,,
,0.0.1,🟢,,,month,,int,,
,0.0.1,🟢,,,normalDouble,,int,,
,0.0.1,🟢,,,quantity,,int,,
카드 획득,0.0.1,🟢,CardAcquireLog,카드 획득 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,logActionType,,int,,
,0.0.1,🟢,,,subType1,,varchar(50),,
,0.0.1,🟢,,,subType2,,varchar(50),,
,0.0.1,🟢,,,cardObjectId,,bigint,,
,0.0.1,🟢,,,cardId,,int,,
,0.0.1,🟢,,,cardLevel,,int,,
,0.0.1,🟢,,,cardGrade,,int,,
,0.0.1,🟢,,,metaData,,json,,
카드 소모 (판매 포함),0.0.1,🟢,CardConsumeLog,카드 소모 로그 (판매 포함),createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,logActionType,,int,,
,0.0.1,🟢,,,cardId,,int,,
,0.0.1,🟢,,,cardGrade,,int,,
,0.0.1,🟢,,,cardLevel,,int,,
,0.0.1,🟢,,,cardLimitBreak,,bit(1),,
,0.0.1,🟢,,,targetCardObjectId,,bigint,,
,0.0.1,🟢,,,targetCardId,,int,,
,0.0.1,🟢,,,targetCardGrade,,int,,
,0.0.1,🟢,,,targetCardLevel,,int,,
,0.0.1,🟢,,,amount,,int,,
카드 등급업,0.0.1,🟢,CardGradeUpLog,카드 등급업 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,targetCardObjectId,,bigint,,
,0.0.1,🟢,,,targetCardId,,int,,
,0.0.1,🟢,,,targetCardLevel,,int,,
,0.0.1,🟢,,,beforeCardGrade,,int,,
,0.0.1,🟢,,,afterCardGrade,,int,,
,0.0.1,🟢,,,amount,,int,,
카드 레벨업,0.0.1,🟢,CardLevelUpLog,카드 레벨업 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,targetCardObjectId,,bigint,,
,0.0.1,🟢,,,targetCardId,,int,,
,0.0.1,🟢,,,beforeLevel,,int,,
,0.0.1,🟢,,,afterLevel,,int,,
,0.0.1,🟢,,,beforeExp,,int,,
,0.0.1,🟢,,,afterExp,,int,,
,0.0.1,🟢,,,amount,,int,,레벨업에 소모된 재화 양
카드 리미트브레이크,0.0.1,🟢,CardLimitBreakLog,카드 리미트브레이크 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,targetCardObjectId,,bigint,,
,0.0.1,🟢,,,targetCardId,,int,,
,0.0.1,🟢,,,targetCardLevel,,int,,
,0.0.1,🟢,,,targetCardGrade,,int,,
,0.0.1,🟢,,,beforeMileage,,int,,
,0.0.1,🟢,,,afterMileage,,int,,
,0.0.1,🟢,,,amount,,int,,
,0.0.1,🟢,,,isSuccess,,bit(1),,성공 여부
카드팩 획득,0.0.1,🟢,CardPackLog,카드팩 획득 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,logActionType,,int,,
,0.0.1,🟢,,,cardPackCode,,int,,
,0.0.1,🟢,,,messageBoxId,,bigint,,인벤토리가 가득차서 우편으로 발송된경우 우편함의 ObjectId 를 기록
,0.0.1,🔴,,,isPickUp,픽업 뽑기 여부,bit(1),,
,0.0.1,🔴,,,pityBefore,뽑기 전 천장 카운트,int,,
,0.0.1,🔴,,,pityAfter,뽑기 후 천장 카운트,int,,
,0.0.1,🔴,,,isPityTriggered,천장 발동 여부,bit(1),,
"한번만 구매가능한 (앨범, 음악, 프로필 등)의 획득로그",0.0.1,🟢,ContentEntitlementLog,"한번만 구매가능한 (앨범, 음악, 프로필 등)의 획득로그",createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,logActionType,,int,,
,0.0.1,🟢,,,providableItemType,,int,,
,0.0.1,🟢,,,itemCode,,int,,
,0.0.1,🟢,,,itemObjectId,,bigint,,
뽑기 티켓 획득 소모 로그,0.0.1,🟢,GachaTicketLog,뽑기 티켓 획득 소모 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,gachaId,,int,,
,0.0.1,🟢,,,beforeValue,,int,,
,0.0.1,🟢,,,afterValue,,int,,
우편함 로그,0.0.1,🟢,MessageLog,우편함 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,deleteType,,int,,"수령, 만료, 유저삭제"
,0.0.1,🟢,,,messageObjectId,,bigint,,
,0.0.1,🟢,,,expiredAt,,datetime,,
,0.0.1,🟢,,,itemType,,int,,
,0.0.1,🟢,,,itemId,,int,,
,0.0.1,🟢,,,quantity,,int,,
,0.0.1,🟢,,,itemV1,,int,,
,0.0.1,🟢,,,itemV2,,int,,
,0.0.1,🟢,,,status,,int,,
,0.0.1,🟢,,,receivedAt,,datetime,,
닉네임 변경 로그,0.0.1,🟢,NicknameChangeLog,닉네임 변경 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,changeNickname,,varchar(50),,
플레이 시작 로그,0.0.1,🟢,StageStartLog,플레이 시작 로그,createdAt,,datetime,,
,0.0.1,🟢,,,actionId,,binary(16),,
,0.0.1,🟢,,,owner,,bigint,,
,0.0.1,🟢,,,albumCode,,int,,
,0.0.1,🟢,,,musicCode,,int,,
,0.0.1,🟢,,,difficult,,int,,
,0.0.1,🟢,,,collectionRealLevel,,int,,
,0.0.1,🟢,,,albumLeagueId,,bigint,,
