Property Category,Iter,적용,Log Name,Log Definition,Property Name,Property Definition,Data Type,Sample Values,Notes
속성들의 분류,버전,구현여부,로그 이름,로그 설명,로그 속성,로그 속성 설명,데이터 타입,샘플 값,비고
플레이 종료,0.0.2,🔴,StageEndLog,플레이 종료 시 기록되는 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,albumCode,앨범 코드,int,1001,
,0.0.2,🔴,,,musicCode,음악 코드,int,2001,
,0.0.2,🔴,,,difficult,난이도,int,"1,2,3",StageStartLog와 동일 기준
,0.0.2,🔴,,,score,최종 점수,int,982350,
,0.0.2,🔴,,,maxCombo,최대 콤보,int,347,
,0.0.2,🔴,,,perfectCount,Perfect 판정 수,int,280,
,0.0.2,🔴,,,greatCount,Great 판정 수,int,50,
,0.0.2,🔴,,,goodCount,Good 판정 수,int,15,
,0.0.2,🔴,,,missCount,Miss 판정 수,int,5,
,0.0.2,🔴,,,isClear,클리어 여부,bit(1),1,
,0.0.2,🔴,,,isFullCombo,풀콤보 여부,bit(1),0,
,0.0.2,🔴,,,isAllPerfect,올퍼펙트 여부,bit(1),0,
,0.0.2,🔴,,,playTime,플레이 시간(초),int,135,
,0.0.2,🔴,,,collectionRealLevel,플레이 시 컬렉션 레벨,int,5,
,0.0.2,🔴,,,albumLeagueId,앨범 리그 ID (리그 참여 시),bigint,,null이면 리그 외 플레이
,0.0.2,🔴,,,endType,종료 유형,varchar(20),"clear, fail, pause_exit","클리어/실패/일시정지 후 나가기 구분"
온보딩,0.0.2,🔴,OnboardingLog,온보딩 단계 진행 시 기록되는 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,stepCode,온보딩 단계 코드,varchar(30),"welcome, nickname, artist_select, first_play, first_draw, collection_intro, shop_intro, league_intro, complete","각 단계를 고유 코드로 구분"
,0.0.2,🔴,,,stepOrder,온보딩 단계 순서,int,"1,2,3,...,9",
,0.0.2,🔴,,,action,단계 내 액션,varchar(20),"start, complete, skip",시작/완료/스킵 구분
,0.0.2,🔴,,,durationSec,해당 단계 소요 시간(초),int,45,start~complete 사이 시간
튜토리얼,0.0.2,🔴,TutorialLog,튜토리얼 진행 시 기록되는 로그,createdAt,로그 생성 시간,datetime,,
,0.0.2,🔴,,,actionId,액션 아이디,binary(16),,
,0.0.2,🔴,,,owner,유저 구분자,bigint,,
,0.0.2,🔴,,,tutorialId,튜토리얼 식별자,varchar(30),"tut_play_basic, tut_draw, tut_upgrade, tut_league, tut_shop",
,0.0.2,🔴,,,stepIndex,튜토리얼 내 스텝 인덱스,int,"1,2,3",
