,,
,반복적으로 사용하는 값들에 대해 정의해 놓은 시트입니다.,
,지속적으로 업데이트 필요합니다.,
,,
,,
,,
,리소스 구분,리소스 사이즈 (W x H)
,일반 테마 프레임 (라지) - 등급별,380x512
,일반 테마 프레임 (스몰) - 등급별,(미정)
,일반 테마 포토카드 초상,380x512
,엠블럼 이미지,~280x40
,프로필 이미지,128x128
,앨범 커버 이미지,512x512
,배경 이미지,1280x1280
,한정 테마 포토카드 초상,380x512
,한정 테마 포토카드 프레임 (라지),380x512
,한정 테마 포토카드 프레임 (스몰),(미정)
,한정 테마 포토카드 그라데이션,(입력 필요)
,한정 테마 리미트 브레이크 프리즘,(입력 필요)
,이벤트 패스 상품 이미지,(미정)
,이벤트 패스 배너,(미정)
,픽업 뽑기 상점 배경,(미정)
,픽업 뽑기 로비 배너 (라지),(미정)
,픽업 뽑기 로비 배너 (스몰),(미정)
,오픈 기념 신규 유저 300회 뽑기 배너,(입력 필요)
