,,,,,,
,[SSBL / 한정 테마 포토카드] 아트 작업 요청 가이드,,,,,
,,,,,,
,포토카드 기본 규격 및 결과물 예시,,,,,인게임 적용 예시
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,[포토카드/테마] 일감 기본 정보,,,,,
,구분,내용,,,,
,테마 코드,(입력 필요),,,,
,일감 구분,한정 테마 포토카드 업데이트,,,,
,아티스트 이름,ALLDAY PROJECT,,,,
,멤버 이름 및 배치 순서(순서 고정),"ANNIE, TARZZAN, BAILEY, WOOCHAN, YOUNGSEO",,,,
,앨범 구분,ALLDAY PROJECT,,,,
,테마 종류,한정 테마,,,,
,테마명,LOOK AT ME,,,,
,엠블럼 이미지 경로,(입력 필요),,,,
,이미지 리소스 경로,(입력 필요),,,,
,제작 리소스 저장 경로,(입력 필요),,,,
,이미지 제작 시 참고 사항,-,,,,
,,,,,,
,[한정 테마 제작 체크리스트],,,,,
,리소스 구분,구분,사이즈,파일명,작업 완료,비고
,한정 테마 포토카드 초상,ANNIE,380x512,Image_Card_{code},FALSE,
,한정 테마 포토카드 초상,TARZZAN,380x512,Image_Card_{code},FALSE,
,한정 테마 포토카드 초상,BAILEY,380x512,Image_Card_{code},FALSE,
,한정 테마 포토카드 초상,WOOCHAN,380x512,Image_Card_{code},FALSE,
,한정 테마 포토카드 초상,YOUNGSEO,380x512,Image_Card_{code},FALSE,
,프로필 이미지,ANNIE,128x128,Image_Profile_{code},FALSE,
,프로필 이미지,TARZZAN,128x128,Image_Profile_{code},FALSE,
,프로필 이미지,BAILEY,128x128,Image_Profile_{code},FALSE,
,프로필 이미지,WOOCHAN,128x128,Image_Profile_{code},FALSE,
,프로필 이미지,YOUNGSEO,128x128,Image_Profile_{code},FALSE,
,한정 테마 포토카드 프레임 (라지),-,380x512,Image_ThemeType_{code}_Large,FALSE,한정 테마 포토카드는 모든 등급 동일 프레임 사용 (등급 심볼은 엔진에서 얹어서 사용)
,한정 테마 포토카드 프레임 (스몰),-,(미정),Image_ThemeType_{code}_Small,FALSE,한정 테마 포토카드는 모든 등급 동일 프레임 사용 (등급 심볼은 엔진에서 얹어서 사용)
,한정 테마 포토카드 그라데이션,-,(입력 필요),(입력 필요),FALSE,"디자인 방향에 따라 그라데이션 패턴 새로 제작 가능 (기존 것 사용 시, 기존 파일명 입력)"
,한정 테마 리미트 브레이크 프리즘,-,(입력 필요),,FALSE,(규격 파악해서 정의 필요)
,배경 이미지,-,1280x1280,Image_Profile_{code},FALSE,
