[시각 참고 자료]
화면명,설명,이미지 링크
신규 유저 이벤트 화면,신규 유저 300회 뽑기 이벤트 화면,(Google Drive 공유 링크 입력)
뽑기 결과 화면,뽑기 결과 표시 화면,(Google Drive 공유 링크 입력)

[신규 유저 뽑기 이벤트] 일감 기본 정보
구분,내용
앨범 코드,(입력 필요)
일감 구분,기타 - 오픈 기념 신규 유저 300회 뽑기 신규 유저 뽑기 이벤트
아티스트 이름,기타
멤버,(솔로 아티스트)
앨범 구분,오픈 기념 신규 유저 300회 뽑기
앨범 발매일,미정
엠블럼 이미지 경로,(입력 필요)
원본 리소스 경로,(입력 필요)
제작 리소스 저장 경로,(입력 필요)
이미지 제작 시 참고 사항,-

[리소스 제작 체크리스트]
리소스 구분,구분,사이즈,파일명,용도 설명,작업 완료,비고
오픈 기념 신규 유저 300회 뽑기 배너,-,input_required,Image_{code},뽑기 이벤트 로비에 표시되는 배너 이미지,FALSE,
