[시각 참고 자료]
화면명,설명,이미지 링크
이벤트 패스 메인 화면,이벤트 패스 진행 상황 화면,(Google Drive 공유 링크 입력)
이벤트 배너,메인 화면에 표시되는 이벤트 홍보 배너,(Google Drive 공유 링크 입력)

[이벤트 패스] 일감 기본 정보
구분,내용
앨범 코드,(입력 필요)
일감 구분,ALLDAY PROJECT - ALLDAY PROJECT 이벤트 패스
아티스트 이름,ALLDAY PROJECT
멤버 (순서 고정),"ANNIE, TARZZAN, BAILEY, WOOCHAN, YOUNGSEO"
앨범 구분,ALLDAY PROJECT
앨범 발매일,2025-12-08
엠블럼 이미지 경로,(입력 필요)
원본 리소스 경로,(입력 필요)
제작 리소스 저장 경로,(입력 필요)
이미지 제작 시 참고 사항,-

[리소스 제작 체크리스트]
리소스 구분,구분,사이즈,파일명,용도 설명,작업 완료,비고
이벤트 패스 배너,-,TBD,Image_{code},이벤트 화면에 표시되는 배너 이미지,FALSE,
이벤트 패스 상품 이미지,-,TBD,Image_{code},상점에서 판매되는 아이템의 썸네일 이미지,FALSE,
