[시각 참고 자료]
화면명,설명,이미지 링크
뽑기 로비 화면,뽑기 이벤트 로비 메인 화면,(Google Drive 공유 링크 입력)
뽑기 배너,뽑기 이벤트 홍보 배너,(Google Drive 공유 링크 입력)
상품 썸네일,상점에서 판매되는 아이템 썸네일,(Google Drive 공유 링크 입력)

[픽업 뽑기 상점] 일감 기본 정보
구분,내용
앨범 코드,(입력 필요)
일감 구분,JEON SOMI - Chaotic & Confused 픽업 뽑기 상점
아티스트 이름,JEON SOMI
멤버,(솔로 아티스트)
앨범 구분,Chaotic & Confused
앨범 발매일,2025-08-11
엠블럼 이미지 경로,(입력 필요)
원본 리소스 경로,(입력 필요)
제작 리소스 저장 경로,(입력 필요)
이미지 제작 시 참고 사항,-

[리소스 제작 체크리스트]
리소스 구분,구분,사이즈,파일명,용도 설명,작업 완료,비고
픽업 뽑기 로비 배너 (라지),-,TBD,Image_{code},뽑기 이벤트 로비에 표시되는 배너 이미지,FALSE,
픽업 뽑기 로비 배너 (스몰),-,TBD,Image_{code},뽑기 이벤트 로비에 표시되는 배너 이미지,FALSE,
픽업 뽑기 상점 배경,-,TBD,Image_LobbyBg_{code},메인 로비 화면의 배경 이미지,FALSE,
