id,project,category_main,artist,album,resource_type,size_width,size_height,size_note,owner_planning,owner_art,detail_link,status,translation_status,languages,priority,due_date,notes,created_at,updated_at
1,SSBL,신규 앨범 업데이트,TAEYANG,Quintessence,일반 테마 포토카드 초상,380,512,,고용회,,,pending,not_required,"KR,EN,JP",high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
2,SSBL,신규 앨범 업데이트,TAEYANG,Quintessence,엠블럼 이미지,280,40,approximate,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
3,SSBL,신규 앨범 업데이트,TAEYANG,Quintessence,프로필 이미지,128,128,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
4,SSBL,신규 앨범 업데이트,TAEYANG,Quintessence,앨범 커버 이미지,512,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
5,SSBL,신규 앨범 업데이트,TAEYANG,Quintessence,배경 이미지,1280,1280,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
6,SSBL,신규 앨범 업데이트,JEON SOMI,Chaotic & Confused,일반 테마 포토카드 초상,380,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
7,SSBL,신규 앨범 업데이트,JEON SOMI,Chaotic & Confused,엠블럼 이미지,280,40,approximate,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
8,SSBL,신규 앨범 업데이트,JEON SOMI,Chaotic & Confused,프로필 이미지,128,128,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
9,SSBL,신규 앨범 업데이트,JEON SOMI,Chaotic & Confused,앨범 커버 이미지,512,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
10,SSBL,신규 앨범 업데이트,JEON SOMI,Chaotic & Confused,배경 이미지,1280,1280,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
11,SSBL,신규 앨범 업데이트,MEOVV,BURNING UP,일반 테마 포토카드 초상,380,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
12,SSBL,신규 앨범 업데이트,MEOVV,BURNING UP,엠블럼 이미지,280,40,approximate,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
13,SSBL,신규 앨범 업데이트,MEOVV,BURNING UP,프로필 이미지,128,128,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
14,SSBL,신규 앨범 업데이트,MEOVV,BURNING UP,앨범 커버 이미지,512,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
15,SSBL,신규 앨범 업데이트,MEOVV,BURNING UP,배경 이미지,1280,1280,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
16,SSBL,신규 앨범 업데이트,ADP,ALLDAY PROJECT,일반 테마 포토카드 초상,380,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
17,SSBL,신규 앨범 업데이트,ADP,ALLDAY PROJECT,엠블럼 이미지,280,40,approximate,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
18,SSBL,신규 앨범 업데이트,ADP,ALLDAY PROJECT,프로필 이미지,128,128,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
19,SSBL,신규 앨범 업데이트,ADP,ALLDAY PROJECT,앨범 커버 이미지,512,512,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
20,SSBL,신규 앨범 업데이트,ADP,ALLDAY PROJECT,배경 이미지,1280,1280,,,,,pending,not_required,,high,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
21,SSBL,한정 테마 포토카드 업데이트,TAEYANG,Quintessence,한정 테마 포토카드 초상,380,512,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
22,SSBL,한정 테마 포토카드 업데이트,TAEYANG,Quintessence,프로필 이미지,128,128,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
23,SSBL,한정 테마 포토카드 업데이트,TAEYANG,Quintessence,한정 테마 포토카드 프레임 (라지),380,512,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
24,SSBL,한정 테마 포토카드 업데이트,TAEYANG,Quintessence,한정 테마 포토카드 프레임 (스몰),,,TBD,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
25,SSBL,한정 테마 포토카드 업데이트,TAEYANG,Quintessence,배경 이미지,1280,1280,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
26,SSBL,한정 테마 포토카드 업데이트,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 초상,380,512,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
27,SSBL,한정 테마 포토카드 업데이트,JEON SOMI,Chaotic & Confused,프로필 이미지,128,128,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
28,SSBL,한정 테마 포토카드 업데이트,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 프레임 (라지),380,512,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
29,SSBL,한정 테마 포토카드 업데이트,JEON SOMI,Chaotic & Confused,한정 테마 포토카드 프레임 (스몰),,,TBD,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
30,SSBL,한정 테마 포토카드 업데이트,JEON SOMI,Chaotic & Confused,배경 이미지,1280,1280,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
31,SSBL,한정 테마 포토카드 업데이트,MEOVV,BURNING UP,한정 테마 포토카드 초상,380,512,,,,,pending,not_required,,medium,,,2026-02-01T04:38:01.906485Z,2026-02-01T04:38:01.906485Z
